srcFormName,srcFieldName,dstFieldNames,DMN_name,expression
Заявка на технологическое присоединение,SignFirstName,"{'empty', 'securityDataProvider', 'fields', 'id', 'true'}",,fields['SignFL'] eq true or fields['SignUL'] eq true or ((securityDataProvider.hasRole('tehprisEE_portalUserRegistrator')) or (securityDataProvider.hasRole('tehprisEE_ZayavkaTP')) and empty fields.id)
Заявка на технологическое присоединение,EmailDataAgree,{'true'},,true
Заявка на технологическое присоединение,IdAppeal,"{'empty', 'securityDataProvider'}",,!empty securityDataProvider.loggedInUser
Заявка на технологическое присоединение,IdAppeal,{'true'},,true
Заявка на технологическое присоединение,sign_electricalCertificates_appl,"{'empty', 'contains', 'electricalCertificates', 'view', 'ApplicantType'}",,"view.viewId.contains('portal.xhtml') and ['UL','IP'].contains(fields.ApplicantType.Code) and !empty fields.electricalCertificates"
Заявка на технологическое присоединение,RedresentDocDate,{'ApplicantType'},,fields.ApplicantType.value.fields.Code eq 'UL'
Заявка на технологическое присоединение,Cityaddr,{'true'},,true
Заявка на технологическое присоединение,Cityaddr,"{'Cityaddr', 'empty', 'Boroughaddr'}",,empty fields.Boroughaddr and empty fields.Cityaddr
Заявка на технологическое присоединение,Cityaddr,"{'empty', 'securityDataProvider', 'id'}",,!(empty securityDataProvider.loggedInUser or securityDataProvider.hasRole('tehprisEE_portalUserRegistrator') or (securityDataProvider.hasRole('tehprisEE_ZayavkaTP')) and empty fields.id)
Заявка на технологическое присоединение,ApartmentaddrReg,"{'места', 'ApplicantType'}",,fields.ApplicantType.value.fields.Code eq 'UL' ? 'Юридический адрес' : 'Адрес места регистрации'
Заявка на технологическое присоединение,ApartmentaddrReg,{'true'},,true
Заявка на технологическое присоединение,ApartmentaddrReg,"{'empty', 'securityDataProvider', 'id'}",,!(empty securityDataProvider.loggedInUser or securityDataProvider.hasRole('tehprisEE_portalUserRegistrator') or (securityDataProvider.hasRole('tehprisEE_ZayavkaTP')) and empty fields.id)
Заявка на технологическое присоединение,ogrnUL,{'ApplicantType'},,fields.ApplicantType.Code eq 'UL'
Заявка на технологическое присоединение,BIK,{'ApplicantType'},,fields.ApplicantType.Code eq 'UL'
Заявка на технологическое присоединение,p_ContractTransferType,{'true'},,true
Заявка на технологическое присоединение,p_ContractTransferType,"{'isSimpleTPScheme', 'empty', 'id', 'true'}",,fields.isSimpleTPScheme eq true or (!empty fields.id)
Заявка на технологическое присоединение,buttonSaveDraft,"{'dataObjectController', 'empty', 'securityDataProvider'}",,!dataObjectController.managed and dataObjectController.instance.metaObject.attributes.get('drafts') and !empty securityDataProvider.loggedInUser
Заявка на технологическое присоединение,sign_acceptanceDoc_appl,"{'empty', 'acceptanceDoc', 'contains', 'view', 'ApplicantType'}",,"view.viewId.contains('portal.xhtml') and ['UL','IP'].contains(fields.ApplicantType.Code) and !empty fields.acceptanceDoc"
Заявка на технологическое присоединение,Indexaddr,{'true'},,true
Заявка на технологическое присоединение,Indexaddr,"{'empty', 'securityDataProvider', 'id'}",,empty securityDataProvider.loggedInUser or securityDataProvider.hasRole('tehprisEE_portalUserRegistrator') or (securityDataProvider.hasRole('tehprisEE_ZayavkaTP')) and empty fields.id
Заявка на технологическое присоединение,Indexaddr,"{'empty', 'securityDataProvider', 'id'}",,!(empty securityDataProvider.loggedInUser or securityDataProvider.hasRole('tehprisEE_portalUserRegistrator') or (securityDataProvider.hasRole('tehprisEE_ZayavkaTP')) and empty fields.id)
Заявка на технологическое присоединение,p_ApplicationSendType,"{'empty', 'securityDataProvider'}",,!empty securityDataProvider.loggedInUser
Заявка на технологическое присоединение,p_ApplicationSendType,{'true'},,true
Заявка на технологическое присоединение,CorAccountGP,"{'isSimpleTPScheme', 'ApplicantType', 'true'}",,fields.isSimpleTPScheme eq true and fields.ApplicantType.Code eq 'FL'
Заявка на технологическое присоединение,CorAccountGP,"{'empty', 'securityDataProvider', 'view', 'CorAccountGP'}",,!empty fields.CorAccountGP and securityDataProvider.hasRole('tehprisEE_GpWorkP') or view.viewId.contains('portal.xhtml') or securityDataProvider.hasRole('tehprisEE_ZayavkaTP')
Заявка на технологическое присоединение,SignFL,{'ApplicantType'},,fields.ApplicantType.value.fields.Code eq 'FL' or fields.ApplicantType.value.fields.Code eq 'IP'
Заявка на технологическое присоединение,CityaddrReg,"{'места', 'ApplicantType'}",,fields.ApplicantType.value.fields.Code eq 'UL' ? 'Юридический адрес' : 'Адрес места регистрации'
Заявка на технологическое присоединение,CityaddrReg,{'true'},,true
Заявка на технологическое присоединение,CityaddrReg,"{'empty', 'CityaddrReg', 'BoroughaddrReg'}",,empty fields.BoroughaddrReg and empty fields.CityaddrReg
Заявка на технологическое присоединение,CityaddrReg,"{'empty', 'securityDataProvider', 'id'}",,!(empty securityDataProvider.loggedInUser or securityDataProvider.hasRole('tehprisEE_portalUserRegistrator') or (securityDataProvider.hasRole('tehprisEE_ZayavkaTP')) and empty fields.id)
Заявка на технологическое присоединение,electricalCertificates,"{'empty', 'securityDataProvider'}",,!empty securityDataProvider.loggedInUser
Заявка на технологическое присоединение,sign_ScanNotificationLetter_SO,"{'empty', 'securityDataProvider'}",,!empty securityDataProvider.loggedInUser
Заявка на технологическое присоединение,EmergencyControl,"{'Code', 'fields'}",,fields['p_TypeTP'].Code eq '32880'
Заявка на технологическое присоединение,ScanActTP,"{'empty', 'securityDataProvider'}",,!empty securityDataProvider.loggedInUser
Заявка на технологическое присоединение,StreetaddrReg,"{'места', 'ApplicantType'}",,fields.ApplicantType.value.fields.Code eq 'UL' ? 'Юридический адрес' : 'Адрес места регистрации'
Заявка на технологическое присоединение,StreetaddrReg,{'true'},,true
Заявка на технологическое присоединение,StreetaddrReg,"{'empty', 'securityDataProvider', 'id'}",,empty securityDataProvider.loggedInUser or securityDataProvider.hasRole('tehprisEE_portalUserRegistrator') and empty fields.id
Заявка на технологическое присоединение,StreetaddrReg,"{'empty', 'securityDataProvider', 'id'}",,!(empty securityDataProvider.loggedInUser or securityDataProvider.hasRole('tehprisEE_portalUserRegistrator') or (securityDataProvider.hasRole('tehprisEE_ZayavkaTP')) and empty fields.id)
Заявка на технологическое присоединение,PowerLabel,"{'Code', 'fields'}",,fields['p_TypeTP'].Code eq '32880' or fields['p_TypeTP'].Code eq '32897'
Заявка на технологическое присоединение,p_ContractTypeTarif,"{'empty', 'securityDataProvider'}",,!empty securityDataProvider.loggedInUser
Заявка на технологическое присоединение,DULtype,{'ApplicantType'},,fields.ApplicantType.Code eq 'FL' or fields.ApplicantType.Code eq 'IP'
